NAME                                     IMAGE                                  COMMAND                  SERVICE                CREATED             STATUS                       PORTS
codigo_servidor-admin-service-1          codigo_servidor-admin-service          "docker-entrypoint.s…"   admin-service          About an hour ago   Up About an hour             5006/tcp
codigo_servidor-ai-service-1             codigo_servidor-ai-service             "docker-entrypoint.s…"   ai-service             About an hour ago   Up About an hour             5009/tcp
codigo_servidor-auth-service-1           codigo_servidor-auth-service           "docker-entrypoint.s…"   auth-service           About an hour ago   Up About an hour             5001/tcp
codigo_servidor-email-service-1          codigo_servidor-email-service          "docker-entrypoint.s…"   email-service          About an hour ago   Up About an hour             5007/tcp
codigo_servidor-file-service-1           codigo_servidor-file-service           "docker-entrypoint.s…"   file-service           About an hour ago   Up About an hour             5004/tcp
codigo_servidor-frontend-1               codigo_servidor-frontend               "/docker-entrypoint.…"   frontend               23 minutes ago      Up 23 minutes                80/tcp
codigo_servidor-gateway-1                codigo_servidor-gateway                "/docker-entrypoint.…"   gateway                23 minutes ago      Up 23 minutes                0.0.0.0:80->80/tcp, [::]:80->80/tcp
codigo_servidor-guacd-1                  guacamole/guacd                        "/opt/guacamole/entr…"   guacd                  About an hour ago   Up About an hour (healthy)   4822/tcp
codigo_servidor-notification-service-1   codigo_servidor-notification-service   "docker-entrypoint.s…"   notification-service   About an hour ago   Up About an hour             5002/tcp
codigo_servidor-outlook-service-1        codigo_servidor-outlook-service        "docker-entrypoint.s…"   outlook-service        About an hour ago   Up About an hour             5003/tcp
codigo_servidor-postgres-1               postgres:15                            "docker-entrypoint.s…"   postgres               4 seconds ago       Up Less than a second        0.0.0.0:5433->5432/tcp, [::]:5433->5432/tcp
codigo_servidor-rdp-service-1            codigo_servidor-rdp-service            "docker-entrypoint.s…"   rdp-service            3 seconds ago       Up Less than a second        5008/tcp
codigo_servidor-redis-1                  redis:alpine                           "docker-entrypoint.s…"   redis                  20 hours ago        Up 2 hours                   0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp
codigo_servidor-tunnel-1                 cloudflare/cloudflared:latest          "cloudflared --no-au…"   tunnel                 2 hours ago         Up 2 hours                   
codigo_servidor-user-service-1           codigo_servidor-user-service           "docker-entrypoint.s…"   user-service           About an hour ago   Up About an hour             5005/tcp
